form_id	form
1830	jugentlichen
1831	erläbt
1832	ainer
1833	bodenäbe
1834	mechaanischi
1835	wärkschtat
1836	luftschuz
1837	umchoo
1838	schweschter
1839	kolossaal
1840	glitte
1841	daagsii
1842	psuecht
1843	schwääri
1844	dachäu
1845	nattierli
1846	muisaarm
1847	denne
1848	gschäfter
1849	plünderet
1850	schuld
1851	ainti
1852	inzwische
1853	sächzgi
1854	gsundhaitlich
1855	nimen
1856	uifggää
1857	siini
1858	äben
1859	duren
1860	purscht
1861	poschte
1862	ou
1863	schiifaare
1864	bärgschtiige
1865	chlätterkurss
1866	schträngi
1867	zwei
1868	zmorge
1869	gchränklet
1870	wäret
1871	gno
1872	schtärbe
1873	huisli
1874	uisbuije
1875	inetaa
1876	öfeli
1877	dinne
1878	zentraalhaizig
1879	schträng
1880	mers
1881	abproche
1882	schtraass
1883	vorane
1884	hätteds
1885	voorschrifte
1886	dise
1887	wääg
1888	hemmers
1889	abprochen
1890	ds
1891	trotwaar
1892	sevǜu
1893	land
1894	chene
1895	buije
1896	beschtande
1897	zämepuije
1898	therässli
1899	würd
1900	vorhäär
1901	chäuffe
1902	brait
1903	intressiert
1904	wortkaarg
1905	absiits
1906	ghaim
1907	rekruite
1908	leschèèr
1909	traagisch
1910	ires/
1911	schee
1912	iren
1913	uisgang
1914	dorff
1915	rändiert
1916	generaal
1917	gisõõ
1918	sogenanti
1919	redwüischtrategii
1920	tüütsche
1921	kwaasi
1922	tön/
1923	würdet
1924	pseze
1925	mittelland
1926	uuslifere
1927	armee
1928	ziet
1929	alpefeschtig
1930	wüsst
1931	vilich
1932	eer
1933	härzlich
1934	ds/
1935	ewägg
1936	uisghalte
1937	zinggen
1938	uiseschtächen
1939	leerbueb
1940	edi
1941	elai
1942	grebschten
1943	chindergaarte
1944	abgää
1945	buechserschtraas
1946	theaater
1947	eender
1948	tiaa/
1949	psezt
1950	ainevierzgi
1951	bundesfiir
1952	sächhundertfüfzg
1953	aidgenossenschaft
1954	gfiiret
1955	fraage
1956	hundertfüfzg
1957	sächshundertfüfzg
1958	aidgenossesch/
1959	sächshundertfüf/
1960	ech
1961	aidgenosseschaft
1962	nünzeainevierzg
1963	ninzehundertainevierzg
1964	mager
1965	worden
1966	ghaig
1967	iibezoge
1968	viu
1969	verschtäntnis
1970	genneraal
1971	beliebt
1972	n
1973	emaale
1974	essg/
1975	eggspo
1976	landi
1977	nüünedriissgi
1978	züri
1979	niinedriissg
1980	dötte
1981	chönt
1982	wobii
1983	nöd
